"","JHLLT","JLKMOVE","JHSPRBQ","JGHQD","JGHQF","JGHQH","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JGHQC","JVOTE7","JLFSATO"
"1",2,2,1,2,2,2,2,1,2,1,1,3,1,4
"2",2,2,1,1,1,1,2,1,2,1,1,2,3,6
"3",2,1,2,2,2,2,2,2,2,2,2,2,1,5
"4",2,2,2,2,2,2,2,1,2,1,1,2,1,7
"5",1,2,2,2,2,1,2,1,2,1,1,3,1,1
"6",1,2,2,2,2,2,2,1,2,1,1,2,1,6
"7",2,2,2,2,2,2,2,1,2,1,1,2,1,5
"8",2,1,2,3,2,2,2,2,2,1,2,2,1,4
"9",2,2,2,1,2,2,2,2,2,2,1,2,2,3
"10",1,2,2,4,3,3,2,1,2,1,2,3,2,1
"11",2,1,1,3,3,3,2,2,2,2,2,2,1,6
"12",1,2,1,2,2,3,2,2,2,2,2,1,3,5
"13",2,1,1,2,3,3,2,2,2,2,2,2,3,6
"14",1,1,1,2,2,2,2,2,2,1,1,2,1,4
"15",1,2,2,1,1,2,2,1,2,1,1,1,1,6
"16",2,1,2,2,2,3,2,1,2,2,1,3,1,7
"17",2,1,2,2,2,2,2,1,2,2,2,2,2,4
"18",1,1,1,3,3,3,2,2,2,2,2,3,1,5
"19",2,2,1,2,3,3,2,2,2,2,2,3,1,4
"20",2,1,2,2,1,2,2,1,2,2,1,2,1,5
"21",2,1,2,2,2,2,2,1,2,2,1,2,1,7
"22",2,1,2,2,3,1,2,1,2,2,2,2,2,3
"23",2,1,2,1,1,1,2,1,2,2,2,1,1,5
"24",2,2,2,2,1,2,2,1,2,2,2,1,2,5
"25",1,1,2,2,2,2,2,2,2,2,2,2,1,5
"26",2,1,2,2,2,2,2,1,2,1,2,2,1,5
"27",2,1,2,3,3,3,2,1,2,1,2,3,3,5
"28",2,1,2,2,2,2,2,1,2,1,2,2,2,4
"29",2,1,2,2,1,2,2,2,2,2,1,2,1,6
"30",2,1,2,2,1,2,2,2,2,2,1,2,1,6
"31",2,2,2,2,2,2,2,2,2,2,1,2,2,4
"32",1,1,2,2,2,2,2,1,2,1,1,2,1,7
"33",2,2,2,2,2,2,2,1,2,2,1,2,1,7
"34",1,2,2,2,2,2,2,1,2,2,1,2,1,5
"35",2,1,1,2,3,2,2,1,2,1,1,2,2,5
"36",1,1,2,2,2,2,2,1,2,1,1,2,1,6
"37",2,1,2,1,2,1,2,1,2,1,2,2,1,5
"38",2,2,1,2,1,2,2,2,2,1,2,2,1,5
"39",2,2,2,2,2,2,2,1,2,2,2,1,2,5
"40",2,2,2,2,2,2,2,1,2,1,2,4,1,4
"41",1,1,2,2,1,1,2,1,2,1,2,2,1,5
"42",1,1,2,2,2,2,2,1,2,1,2,2,1,5
"43",2,1,2,3,3,3,2,2,2,2,1,3,1,6
"44",2,1,2,2,1,2,2,2,2,2,1,2,1,7
"45",1,2,2,2,2,2,2,2,2,1,2,3,2,1
