"","Country","lifeExp","GNI","educationExp","birthRate","mortality","repr.parliament","eduRatio","labourRatio"
"Norway","Norway",81.6,"64,992",17.5,7.8,4,39.6,1.00723888314374,0.890829694323144
"Australia","Australia",82.4,"42,261",20.2,12.1,6,30.5,0.996828752642706,0.818941504178273
"Switzerland","Switzerland",83,"56,431",15.8,1.9,6,28.5,0.98343685300207,0.825100133511348
"Denmark","Denmark",80.2,"44,025",18.7,5.1,5,38,0.988612836438924,0.884036144578313
"Netherlands","Netherlands",81.6,"45,435",17.9,6.2,6,36.9,0.969060773480663,0.828611898016997
"Germany","Germany",80.9,"43,919",16.5,3.8,7,36.9,0.992783505154639,0.807228915662651
"Ireland","Ireland",80.9,"39,568",18.6,8.2,9,19.9,1.02417302798982,0.779735682819383
"United States","United States",79.1,"52,947",16.5,31,28,19.4,1.00316455696203,0.817126269956459
"Canada","Canada",82,"42,155",15.9,14.5,11,28.2,1,0.867605633802817
"New Zealand","New Zealand",81.8,"32,689",19.2,25.3,8,31.4,0.99685204616999,0.840108401084011
"Singapore","Singapore",83,"76,628",15.4,6,6,25.3,0.914814814814815,0.761658031088083
"Sweden","Sweden",82.2,"45,636",15.8,6.5,4,43.6,0.990836197021764,0.888070692194403
"United Kingdom","United Kingdom",80.7,"39,267",16.2,25.8,8,23.5,0.998998998998999,0.810771470160116
"Iceland","Iceland",82.6,"35,182",19,11.5,4,41.3,0.993449781659389,0.910852713178295
"Korea (Republic of)","Korea (Republic of)",81.9,"33,890",16.9,2.2,27,16.3,0.864197530864198,0.694868238557559
"Israel","Israel",82.4,"30,676",16,7.8,2,22.5,0.966781214203895,0.837916063675832
"Luxembourg","Luxembourg",81.7,"58,711",13.9,8.3,11,28.3,1,0.784829721362229
"Japan","Japan",83.5,"36,927",15.3,5.4,6,11.6,1.01398601398601,0.693181818181818
"Belgium","Belgium",80.8,"41,187",16.3,6.7,6,42.4,0.934861278648975,0.801011804384486
"France","France",82.2,"38,056",16,5.7,12,25.7,0.9375,0.823051948051948
"Austria","Austria",81.4,"43,869",15.7,4.1,4,30.3,1,0.806499261447563
"Finland","Finland",80.8,"38,695",17.1,9.2,4,42.5,1,0.8703125
"Slovenia","Slovenia",80.4,"27,852",16.8,0.6,7,27.7,0.977551020408163,0.82753164556962
"Spain","Spain",82.6,"32,045",17.3,10.6,4,38,0.913816689466484,0.797872340425532
"Italy","Italy",83.1,"33,030",16,4,4,30.1,0.884472049689441,0.665546218487395
"Czech Republic","Czech Republic",78.6,"26,660",16.4,4.9,5,18.9,1.00200601805416,0.748169838945827
"Greece","Greece",80.9,"24,524",17.6,11.9,5,21,0.888059701492537,0.7072
"Estonia","Estonia",76.8,"25,214",16.5,16.8,11,19.8,1,0.815674891146589
"Cyprus","Cyprus",80.2,"28,633",14,5.5,10,12.5,0.930232558139535,0.787623066104079
"Qatar","Qatar",78.2,"123,124",13.8,9.5,6,0,1.13050847457627,0.531937172774869
"Slovakia","Slovakia",76.3,"25,845",15.1,15.9,7,18.7,0.995979899497487,0.744897959183674
"Poland","Poland",77.4,"23,177",15.5,12.2,3,22.1,0.928654970760234,0.75346687211094
"Lithuania","Lithuania",73.3,"24,500",16.4,10.6,11,23.4,0.944856839872746,0.829123328380386
"Malta","Malta",80.6,"27,930",14.4,18.2,9,13,0.877237851662404,0.571644042232277
"Saudi Arabia","Saudi Arabia",74.3,"52,821",16.3,10.2,16,19.9,0.860597439544808,0.257982120051086
"Argentina","Argentina",76.3,"22,050",17.9,54.4,69,36.8,0.977430555555555,0.633333333333333
"United Arab Emirates","United Arab Emirates",77,"60,868",13.3,27.6,8,17.5,1.19444444444444,0.505434782608696
"Chile","Chile",81.7,"21,290",15.2,55.3,22,15.8,0.959424083769633,0.657754010695187
"Portugal","Portugal",80.9,"25,757",16.3,12.6,8,31.3,0.989626556016598,0.829305135951662
"Hungary","Hungary",75.2,"22,916",15.4,12.1,14,10.1,0.991894630192503,0.746666666666667
"Bahrain","Bahrain",76.6,"38,599",14.4,13.8,22,15,1.10311284046693,0.451093210586881
"Latvia","Latvia",74.2,"22,281",15.2,13.5,13,18,0.998989898989899,0.812130177514793
"Croatia","Croatia",77.3,"19,409",14.8,12.7,13,25.8,0.908119658119658,0.76541095890411
"Kuwait","Kuwait",74.4,"83,961",14.7,14.5,14,1.5,0.987566607460036,0.524669073405536
"Montenegro","Montenegro",76.2,"14,558",15.2,15.2,7,17.3,0.889123548046463,0.75043630017452
"Belarus","Belarus",71.3,"16,676",15.7,20.6,1,30.1,0.943600867678959,0.793977812995246
"Russian Federation","Russian Federation",70.1,"22,352",14.7,25.7,24,14.5,0.968648648648649,0.796373779637378
"Oman","Oman",76.8,"34,858",13.6,10.6,11,9.6,0.82661996497373,0.351089588377724
"Romania","Romania",74.7,"18,108",14.2,31,33,12,0.935869565217391,0.750385208012327
"Uruguay","Uruguay",77.2,"19,283",15.5,58.3,14,11.5,1.08151093439364,0.723958333333333
"Bahamas","Bahamas",75.4,"21,336",12.6,28.5,37,16.7,1.04109589041096,0.873896595208071
"Kazakhstan","Kazakhstan",69.4,"20,867",15,29.9,26,20.1,0.964574898785425,0.869062901155327
"Barbados","Barbados",75.6,"12,488",15.4,48.4,52,19.6,1.02052451539339,0.860313315926893
"Bulgaria","Bulgaria",74.2,"15,596",14.4,35.9,5,20.4,0.971786833855799,0.811864406779661
"Panama","Panama",77.6,"18,192",13.3,78.5,85,19.3,1.08216432865731,0.599022004889976
"Malaysia","Malaysia",74.7,"22,762",12.7,5.7,29,14.2,0.91304347826087,0.588079470198675
"Mauritius","Mauritius",74.4,"17,470",15.6,30.9,73,11.6,0.851724137931034,0.587601078167116
"Trinidad and Tobago","Trinidad and Tobago",70.4,"26,090",12.3,34.8,84,24.7,0.980295566502463,0.701986754966887
"Serbia","Serbia",74.9,"12,190",14.4,16.9,16,34,0.793478260869565,0.730706075533662
"Cuba","Cuba",79.4,"7,301",13.8,43.1,80,48.9,0.942893401015228,0.62
"Lebanon","Lebanon",79.3,"16,509",13.8,12,16,3.1,0.956678700361011,0.328631875881523
